judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5320,532,371,972,1335,1055,1055
ARAD,2814,189,111,474,775,665,600
ARGES,8385,686,501,1587,2162,1659,1790
BACAU,5614,413,262,759,1441,1268,1471
BIHOR,4475,309,305,923,1183,722,1033
BISTRITA NASAUD,4607,428,264,651,1116,892,1256
BOTOSANI,4788,252,210,921,1371,997,1037
BRAILA,4178,341,198,681,1098,712,1148
BRASOV,6467,829,491,1390,1552,1054,1151
BUZAU,7668,450,291,1007,1922,1907,2091
CALARASI,4080,635,187,811,1043,619,785
CARAS-SEVERIN,2922,219,165,461,742,604,731
CLUJ,4904,475,306,941,1241,946,995
CONSTANTA,5602,386,269,808,1419,953,1767
COVASNA,3234,554,230,700,811,499,440
DAMBOVITA,4985,544,330,834,1186,1009,1082
DOLJ,18664,1668,1372,3454,4718,3581,3871
GALATI,8664,562,378,1290,2406,1667,2361
GIURGIU,2200,281,190,387,526,380,436
GORJ,4080,232,186,644,1013,989,1016
HARGHITA,5653,865,424,1213,1402,899,850
HUNEDOARA,7579,817,596,1338,1806,1639,1383
IALOMITA,4197,309,206,707,1112,737,1126
IASI,9400,546,387,1595,2727,1637,2508
ILFOV,1024,94,55,196,246,205,228
MARAMURES,4445,551,254,940,1204,804,692
MEHEDINTI,6632,413,295,986,1715,1500,1723
MUNICIPIUL BUCURESTI,10611,224,906,2434,2690,2420,1937
MURES,7665,1174,727,1590,1864,962,1348
NEAMT,8126,521,338,1351,2227,1777,1912
OLT,7543,677,589,1145,1853,1597,1682
PRAHOVA,6678,638,324,1186,1744,1437,1349
SALAJ,5181,672,358,1169,1339,835,808
SATU-MARE,5691,756,436,1307,1569,830,793
SIBIU,5081,575,397,1188,1316,681,924
SUCEAVA,12107,1250,812,2538,3209,1760,2538
TELEORMAN,9452,698,518,1649,2447,1931,2209
TIMIS,2904,174,131,570,761,528,740
TULCEA,2580,228,282,412,518,563,577
VALCEA,4287,309,274,602,1038,1092,972
VASLUI ,9292,332,293,1327,2740,2335,2265
VRANCEA,2809,290,140,488,654,609,628
TOTAL,252588,22098,15359,45626,65241,48956,55308
