JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,672     "," 2,736     "," 2,936     "," 2,834     "," 2,838     ", 3.37     , 3.53     , 3.24     ,
ARAD," 4,558     "," 2,586     "," 1,972     "," 2,545     "," 2,013     ", 2.13     , 2.70     , 1.67     ,
ARGES," 10,383     "," 5,470     "," 4,913     "," 4,714     "," 5,669     ", 4.00     , 4.45     , 3.59     ,
BACAU," 10,966     "," 4,637     "," 6,329     "," 2,467     "," 8,499     ", 5.17     , 5.08     , 5.24     ,
BIHOR," 5,187     "," 3,095     "," 2,092     "," 3,204     "," 1,983     ", 1.95     , 2.55     , 1.45     ,
BISTRITA NASAUD," 3,828     "," 2,139     "," 1,689     "," 2,158     "," 1,670     ", 2.97     , 3.75     , 2.35     ,
BOTOSANI," 4,021     "," 1,981     "," 2,040     "," 1,094     "," 2,927     ", 2.95     , 3.02     , 2.89     ,
BRAILA," 4,653     "," 2,033     "," 2,620     ", 871     ," 3,782     ", 3.78     , 3.67     , 3.88     ,
BRASOV," 6,362     "," 3,079     "," 3,283     "," 2,102     "," 4,260     ", 2.42     , 2.79     , 2.15     ,
BUZAU," 12,293     "," 5,203     "," 7,090     "," 1,853     "," 10,440     ", 7.16     , 6.52     , 7.71     ,
CALARASI," 3,740     "," 1,930     "," 1,810     ", 850     ," 2,890     ", 4.12     , 4.36     , 3.89     ,
CARA?-SEVERIN," 3,865     "," 1,767     "," 2,098     "," 1,436     "," 2,429     ", 3.62     , 3.81     , 3.47     ,
CLUJ," 6,240     "," 3,540     "," 2,700     "," 3,072     "," 3,168     ", 1.70     , 2.20     , 1.32     ,
CONSTANTA," 6,872     "," 3,756     "," 3,116     "," 2,200     "," 4,672     ", 2.35     , 2.99     , 1.87     ,
COVASNA," 3,870     "," 1,953     "," 1,917     "," 1,094     "," 2,776     ", 4.53     , 4.94     , 4.18     ,
DAMBOVITA," 6,167     "," 2,984     "," 3,183     "," 1,478     "," 4,689     ", 3.21     , 3.65     , 2.88     ,
DOLJ," 19,131     "," 8,387     "," 10,744     "," 3,117     "," 16,014     ", 7.19     , 7.07     , 7.28     ,
GALATI," 11,726     "," 5,273     "," 6,453     "," 2,018     "," 9,708     ", 6.17     , 6.07     , 6.24     ,
