judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5672,706,329,1073,1561,1058,945
ARAD,4558,1012,226,702,1143,817,658
ARGES,10383,1063,585,1983,3016,2124,1612
BACAU,10966,1493,495,1622,2804,2127,2425
BIHOR,5187,797,341,1033,1432,936,648
BISTRITA NASAUD,3828,541,214,715,965,731,662
BOTOSANI,4021,664,143,558,1017,751,888
BRAILA,4653,498,208,775,1303,806,1063
BRASOV,6362,939,358,1285,1580,1148,1052
BUZAU,12293,1374,457,1967,3452,2338,2705
CALARASI,3740,571,142,717,967,667,676
CARAS-SEVERIN,3865,611,205,597,983,722,747
CLUJ,6240,334,302,1242,1813,1658,891
CONSTANTA,6872,1639,292,1094,1476,1141,1230
COVASNA,3870,798,269,792,995,527,489
DAMBOVITA,6167,878,333,1020,1526,1195,1215
DOLJ,19131,2084,999,3285,5395,3697,3671
GALATI,11726,1557,381,1600,3313,2374,2501
GIURGIU,2226,528,76,312,469,418,423
GORJ,5073,792,233,827,1251,957,1013
HARGHITA,5730,1168,354,1230,1398,795,785
HUNEDOARA,6435,765,360,1008,1960,1496,846
IALOMITA,4351,579,189,668,1161,802,952
IASI,9037,751,240,1284,2568,1881,2313
ILFOV,851,279,33,135,188,126,90
MARAMURES,5312,1437,388,907,1203,816,561
MEHEDINTI,6695,542,422,1401,2143,1020,1167
MUNICIPIUL BUCURESTI,15290,367,1420,3686,4387,3023,2407
MURES,6067,1181,344,1208,1501,1002,831
NEAMT,7944,1019,299,1275,2137,1580,1634
OLT,9288,1218,320,1254,2578,1932,1986
PRAHOVA,8889,1160,346,1471,2537,2014,1361
SALAJ,5075,961,311,1023,1256,807,717
SATU-MARE,4860,672,314,1128,1387,636,723
SIBIU,5199,701,309,995,1420,943,831
SUCEAVA,11563,2695,644,1924,2823,1653,1824
TELEORMAN,8836,1064,419,1454,2326,1762,1811
TIMIS,3720,594,201,611,946,704,664
TULCEA,2792,457,193,462,694,576,410
VALCEA,5916,1110,229,844,1541,1239,953
VASLUI ,7798,674,239,1151,2389,1732,1613
VRANCEA,5458,814,242,856,1354,1091,1101
TOTAL,283939,39087,14404,49174,76358,53822,51094
