JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,060     "," 2,448     "," 2,612     "," 1,136     "," 3,924     ", 3.36     , 3.53     , 3.21     ,
ARAD," 2,354     "," 1,232     "," 1,122     ", 766     ," 1,588     ", 1.24     , 1.49     , 1.05     ,
ARGES," 8,007     "," 3,833     "," 4,174     "," 1,670     "," 6,337     ", 3.53     , 3.71     , 3.37     ,
BACAU," 5,396     "," 2,373     "," 3,023     "," 1,252     "," 4,144     ", 2.91     , 3.02     , 2.83     ,
BIHOR," 2,728     "," 1,499     "," 1,229     "," 1,014     "," 1,714     ", 1.17     , 1.44     , 0.95     ,
BISTRITA NASAUD," 4,171     "," 2,101     "," 2,070     "," 1,319     "," 2,852     ", 3.71     , 4.31     , 3.25     ,
BOTOSANI," 3,323     "," 1,616     "," 1,707     ", 608     ," 2,715     ", 3.09     , 3.26     , 2.93     ,
BRAILA," 3,370     "," 1,485     "," 1,885     ", 341     ," 3,029     ", 3.13     , 3.09     , 3.17     ,
BRASOV," 5,210     "," 2,490     "," 2,720     ", 682     ," 4,528     ", 2.07     , 2.28     , 1.91     ,
BUZAU," 7,274     "," 3,085     "," 4,189     ", 843     ," 6,431     ", 5.13     , 4.88     , 5.32     ,
CALARASI," 3,230     "," 1,570     "," 1,660     ", 497     ," 2,733     ", 4.41     , 4.80     , 4.09     ,
CARA?-SEVERIN," 2,336     "," 1,077     "," 1,259     ", 890     ," 1,446     ", 2.58     , 2.87     , 2.37     ,
CLUJ," 4,100     "," 2,147     "," 1,953     ", 909     ," 3,191     ", 1.17     , 1.40     , 0.99     ,
CONSTANTA," 4,865     "," 2,754     "," 2,111     "," 1,037     "," 3,828     ", 1.78     , 2.40     , 1.34     ,
COVASNA," 3,346     "," 1,587     "," 1,759     ", 370     ," 2,976     ", 4.30     , 4.65     , 4.03     ,
DAMBOVITA," 4,540     "," 2,266     "," 2,274     ", 938     ," 3,602     ", 2.76     , 3.48     , 2.29     ,
DOLJ," 15,644     "," 6,839     "," 8,805     "," 1,463     "," 14,181     ", 6.95     , 6.94     , 6.96     ,
GALATI," 10,390     "," 4,757     "," 5,633     ", 977     ," 9,413     ", 6.27     , 6.53     , 6.06     ,
GIURGIU," 2,102     "," 1,151     ", 951     , 301     ," 1,801     ", 3.26     , 4.07     , 2.63     ,
GORJ," 4,098     "," 2,089     "," 2,009     "," 1,004     "," 3,094     ", 3.43     , 3.81     , 3.11     ,
HARGHITA," 4,693     "," 2,239     "," 2,454     ", 891     ," 3,802     ", 3.96     , 4.51     , 3.57     ,
HUNEDOARA," 5,826     "," 3,197     "," 2,629     "," 1,721     "," 4,105     ", 3.74     , 4.60     , 3.05     ,
IALOMITA," 3,453     "," 1,645     "," 1,808     ", 473     ," 2,980     ", 4.43     , 4.75     , 4.17     ,
IASI," 8,176     "," 3,731     "," 4,445     ", 758     ," 7,418     ", 3.05     , 3.04     , 3.05     ,
ILFOV, 958     , 547     , 411     , 253     , 705     , 0.46     , 0.67     , 0.33     ,
MARAMURES," 3,314     "," 1,686     "," 1,628     "," 1,044     "," 2,270     ", 1.89     , 2.13     , 1.68     ,
MEHEDINTI," 5,356     "," 2,258     "," 3,098     ", 726     ," 4,630     ", 6.48     , 6.29     , 6.63     ,
MUN. BUC.," 13,037     "," 6,760     "," 6,277     "," 1,169     "," 11,868     ", 1.06     , 1.10     , 1.03     ,
MURES," 5,950     "," 2,775     "," 3,175     ", 860     ," 5,090     ", 2.86     , 3.14     , 2.66     ,
NEAMT," 5,636     "," 2,536     "," 3,100     ", 936     ," 4,700     ", 3.74     , 3.90     , 3.63     ,
OLT," 7,378     "," 3,323     "," 4,055     ", 787     ," 6,591     ", 5.70     , 6.00     , 5.48     ,
PRAHOVA," 5,766     "," 2,926     "," 2,840     "," 1,678     "," 4,088     ", 2.17     , 2.66     , 1.82     ,
SALAJ," 4,384     "," 1,946     "," 2,438     ", 665     ," 3,719     ", 4.89     , 5.13     , 4.71     ,
