judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5657,881,341,1008,1509,966,952
ARAD,2901,311,112,431,779,547,721
ARGES,8357,985,454,1660,2326,1466,1466
BACAU,12638,1561,2035,2835,2561,2015,1631
BIHOR,4074,522,242,805,1120,739,646
BISTRITA NASAUD,3996,530,239,770,1064,737,656
BOTOSANI,4206,442,163,639,1282,718,962
BRAILA,4903,565,237,849,1513,652,1087
BRASOV,5729,778,431,1259,1399,896,966
BUZAU,12474,1122,544,2185,3760,2097,2766
CALARASI,3799,483,168,749,1013,616,770
CARAS-SEVERIN,3537,421,180,612,996,639,689
CLUJ,4720,547,309,947,1269,810,838
CONSTANTA,8001,668,325,1429,2315,1619,1645
COVASNA,3104,723,213,649,739,337,443
DAMBOVITA,8023,1621,401,1206,1926,1317,1552
DOLJ,19728,1874,1106,3589,5855,3468,3836
GALATI,11979,1092,430,1825,3715,2249,2668
GIURGIU,1863,343,86,279,417,331,407
GORJ,5914,665,243,943,1614,940,1509
HARGHITA,5705,1016,402,1267,1442,780,798
HUNEDOARA,5830,776,393,1003,1550,1253,855
IALOMITA,5268,539,223,858,1541,981,1126
IASI,8982,999,209,1293,2472,1708,2301
ILFOV,1299,442,53,206,281,137,180
MARAMURES,6418,1131,539,1189,1702,1191,666
MEHEDINTI,7996,566,277,1781,2709,1186,1477
MUNICIPIUL BUCURESTI,15710,289,1536,3930,4565,2772,2618
MURES,7126,1124,556,1709,1852,955,930
NEAMT,8267,911,393,1376,2451,1490,1646
OLT,10138,1035,433,1639,3059,1804,2168
PRAHOVA,7727,1018,334,1313,2215,1431,1416
SALAJ,4602,806,350,933,1164,701,648
SATU-MARE,3842,489,280,945,1083,528,517
SIBIU,3539,370,252,709,921,582,705
SUCEAVA,11867,2270,779,2204,3098,1574,1942
TELEORMAN,11201,1350,631,1923,3026,2056,2215
TIMIS,2742,303,159,443,776,465,596
TULCEA,3048,425,299,543,808,612,361
VALCEA,4892,658,254,888,1352,936,804
VASLUI ,11570,741,361,1972,4040,2155,2301
VRANCEA,5524,672,283,893,1454,979,1243
TOTAL,288896,34064,17255,53686,80733,49435,53723
