JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5431,314,867,1873,1308,45,815,209
ARAD,2318,442,259,632,511,28,271,175
ARGES,8035,405,2043,2744,1253,88,1245,257
BACAU,4696,296,868,1755,781,50,752,194
BIHOR,2726,224,587,709,546,49,390,221
BISTRITA,3663,285,499,1236,837,36,613,157
BOTOSANI,3442,136,583,1375,705,29,506,108
BRAILA,3362,459,778,1242,389,33,368,93
BRASOV,6585,683,1887,2177,989,37,578,234
BUZAU,7869,811,1808,2702,1218,31,1195,104
CALARASI,3720,141,653,1157,749,22,960,38
CARAS,2055,269,334,550,517,29,249,107
CLUJ,3810,656,689,966,559,70,557,313
CONSTANTA,4737,728,884,1131,1300,33,427,234
COVASNA,3972,416,1192,874,979,19,443,49
DAMBOVITA,4738,351,981,1691,960,43,582,130
DOLJ,16361,953,4613,5373,3325,103,1694,300
GALATI,9284,1148,2055,3719,1050,60,1050,202
GIURGIU,2283,271,343,875,635,2,129,28
GORJ,3976,0,438,1098,1337,64,842,197
HARGHITA,4516,784,1394,1016,731,57,423,111
HUNEDOARA,5804,449,746,1592,1569,112,900,436
IALOMITA,3713,397,814,1403,519,12,531,37
IASI,8768,491,1749,2857,1018,67,2062,524
ILFOV,922,126,265,226,160,11,62,72
MARAMURES,3786,134,735,1064,741,83,668,361
MEHEDINTI,5859,661,969,2253,1225,42,611,98
MUN. BUC.,12207,19,67,2111,4011,243,2124,3632
MURES,5858,815,1975,1436,863,34,598,137
NEAMT,6280,509,1104,2263,839,52,1347,166
OLT,7175,589,832,2525,1583,63,1477,106
PRAHOVA,6225,421,1034,1778,1361,71,1230,330
SALAJ,4383,524,1391,1240,533,36,527,132
SATU M.,4344,742,1745,1250,252,16,274,65
SIBIU,4962,347,1428,1214,794,43,626,510
SUCEAVA,9911,951,2246,3489,1349,100,1519,257
TELEORMAN,8311,715,1500,3859,1221,39,871,106
TIMIS,2555,282,256,543,754,29,314,377
TULCEA,2544,0,248,1128,655,0,388,125
VALCEA,4159,154,557,1241,1128,49,826,204
VASLUI,8085,374,1878,3752,862,28,1128,63
VRANCEA,4187,290,1317,1629,467,41,388,55
Total general,227617,18762,46611,73748,42583,2099,32560,11254
