JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,431     "," 2,731     "," 2,700     "," 1,401     "," 4,030     ", 3.60     , 3.94     , 3.32     ,
ARAD," 2,318     "," 1,259     "," 1,059     ", 879     ," 1,439     ", 1.22     , 1.52     , 0.99     ,
ARGES," 8,035     "," 3,914     "," 4,121     "," 1,624     "," 6,411     ", 3.54     , 3.79     , 3.33     ,
BACAU," 4,696     "," 2,102     "," 2,594     "," 1,156     "," 3,540     ", 2.53     , 2.67     , 2.43     ,
BIHOR," 2,726     "," 1,503     "," 1,223     "," 1,123     "," 1,603     ", 1.16     , 1.44     , 0.94     ,
BISTRITA NASAUD," 3,663     "," 1,854     "," 1,809     "," 1,197     "," 2,466     ", 3.26     , 3.81     , 2.84     ,
BOTOSANI," 3,442     "," 1,673     "," 1,769     ", 490     ," 2,952     ", 3.20     , 3.38     , 3.04     ,
BRAILA," 3,362     "," 1,514     "," 1,848     ", 302     ," 3,060     ", 3.12     , 3.15     , 3.11     ,
BRASOV," 6,585     "," 3,426     "," 3,159     ", 661     ," 5,924     ", 2.62     , 3.13     , 2.22     ,
BUZAU," 7,869     "," 3,447     "," 4,422     ", 852     ," 7,017     ", 5.55     , 5.45     , 5.62     ,
CALARASI," 3,720     "," 1,756     "," 1,964     ", 260     ," 3,460     ", 5.08     , 5.37     , 4.84     ,
CARA?-SEVERIN," 2,055     ", 959     ," 1,096     ", 659     ," 1,396     ", 2.27     , 2.56     , 2.06     ,
CLUJ," 3,810     "," 1,930     "," 1,880     ", 899     ," 2,911     ", 1.09     , 1.26     , 0.95     ,
CONSTANTA," 4,737     "," 2,736     "," 2,001     ", 971     ," 3,766     ", 1.74     , 2.39     , 1.27     ,
COVASNA," 3,972     "," 1,962     "," 2,010     ", 339     ," 3,633     ", 5.11     , 5.75     , 4.60     ,
DAMBOVITA," 4,738     "," 2,609     "," 2,129     ", 901     ," 3,837     ", 2.88     , 4.01     , 2.14     ,
DOLJ," 16,361     "," 7,313     "," 9,048     "," 1,268     "," 15,093     ", 7.27     , 7.42     , 7.15     ,
GALATI," 9,284     "," 4,170     "," 5,114     ", 760     ," 8,524     ", 5.60     , 5.72     , 5.50     ,
GIURGIU," 2,283     "," 1,208     "," 1,075     ", 238     ," 2,045     ", 3.54     , 4.27     , 2.97     ,
GORJ," 3,976     "," 2,118     "," 1,858     ", 765     ," 3,211     ", 3.33     , 3.86     , 2.88     ,
HARGHITA," 4,516     "," 2,056     "," 2,460     ", 823     ," 3,693     ", 3.81     , 4.14     , 3.58     ,
HUNEDOARA," 5,804     "," 3,104     "," 2,700     "," 1,884     "," 3,920     ", 3.73     , 4.47     , 3.14     ,
IALOMITA," 3,713     "," 1,859     "," 1,854     ", 519     ," 3,194     ", 4.76     , 5.37     , 4.27     ,
IASI," 8,768     "," 4,066     "," 4,702     ", 710     ," 8,058     ", 3.27     , 3.32     , 3.23     ,
ILFOV, 922     , 540     , 382     , 272     , 650     , 0.45     , 0.66     , 0.31     ,
