JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5379,429,978,1844,1099,46,734,249
ARAD,2669,519,392,738,531,37,283,169
ARGES,7905,421,1957,2573,1306,114,1222,312
BACAU,6623,428,977,2334,1670,75,933,206
BIHOR,3224,294,729,762,603,66,460,310
BISTRITA,4040,257,577,1241,976,51,723,215
BOTOSANI,2855,120,623,1131,417,28,455,81
BRAILA,3544,673,823,1168,337,40,389,114
BRASOV,5270,802,1456,1621,600,41,507,243
BUZAU,8086,789,1882,2864,1112,65,1256,118
CALARASI,2919,345,778,952,442,29,323,50
CARAS,2296,328,337,481,589,62,343,156
CLUJ,4380,626,764,1075,785,86,696,348
CONSTANTA,6112,731,986,1624,1474,71,878,348
COVASNA,3647,462,1394,960,478,19,283,51
DAMBOVITA,4490,424,949,1595,719,34,617,152
DOLJ,15785,994,5018,4842,2883,98,1647,303
GALATI,10710,1127,2467,4151,1304,80,1264,317
GIURGIU,1961,178,336,794,482,14,110,47
GORJ,4086,0,441,1318,1105,66,891,265
HARGHITA,4721,768,1416,1007,812,39,553,126
HUNEDOARA,6585,442,661,1638,1879,188,1181,596
IALOMITA,3913,367,1084,1387,430,22,574,49
IASI,8345,598,1663,2730,1202,67,1856,229
ILFOV,837,122,238,198,150,5,60,64
MARAMURES,3489,112,792,845,832,102,580,226
MEHEDINTI,5582,662,971,2206,927,69,656,91
MUN. BUC.,13805,20,132,2450,5169,438,2277,3319
MURES,5350,651,2135,1274,525,60,559,146
NEAMT,5762,496,803,1990,1068,67,1145,193
OLT,7390,653,861,2884,1501,75,1279,137
PRAHOVA,5883,579,1008,1678,1106,73,1104,335
SALAJ,4358,434,1491,1239,527,38,500,129
SATU M.,4614,753,1828,1404,265,11,300,53
SIBIU,3475,371,1192,811,394,32,485,190
SUCEAVA,10421,1083,2249,3519,1402,127,1732,309
TELEORMAN,8772,829,1501,4146,1150,44,985,117
TIMIS,2450,335,262,519,567,37,383,347
TULCEA,2397,0,693,736,524,0,391,53
VALCEA,4917,175,478,1424,1370,109,1082,279
VASLUI,8703,432,2207,3658,1072,44,1214,76
VRANCEA,5125,336,1547,1879,695,60,516,92
Total general,232875,20165,49076,73690,42479,2829,33426,11210
