judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5379,712,455,980,1314,993,925
ARAD,2669,279,128,374,668,611,609
ARGES,7905,832,521,1384,2098,1614,1456
BACAU,6623,927,375,882,1607,1338,1494
BIHOR,3224,337,174,546,814,603,750
BISTRITA NASAUD,4040,572,223,559,973,889,824
BOTOSANI,2855,233,106,327,706,681,802
BRAILA,3544,388,154,512,907,699,884
BRASOV,5270,864,420,1015,1199,895,877
BUZAU,8086,598,364,1158,2227,1964,1775
CALARASI,2919,283,119,600,788,521,608
CARAS-SEVERIN,2296,237,92,325,569,539,534
CLUJ,4380,481,225,821,1074,912,867
CONSTANTA,6112,675,311,857,1530,1213,1526
COVASNA,3647,1138,508,545,687,400,369
DAMBOVITA,4490,605,308,639,1007,980,951
DOLJ,15785,1597,979,2477,4221,3314,3197
GALATI,10710,1486,757,1274,2725,2295,2173
GIURGIU,1961,302,168,187,441,534,329
GORJ,4086,356,208,552,1066,1048,856
HARGHITA,4721,792,323,963,1207,762,674
HUNEDOARA,6585,629,384,1021,1808,1677,1066
IALOMITA,3913,454,216,495,994,770,984
IASI,8345,1000,380,1044,2111,1771,2039
ILFOV,837,95,32,130,236,190,154
MARAMURES,3489,632,289,565,854,629,520
MEHEDINTI,5582,393,241,791,1552,1314,1291
MUNICIPIUL BUCURESTI,13805,238,1296,3065,3795,3102,2309
MURES,5350,1103,420,959,1327,753,788
NEAMT,5762,607,257,801,1539,1265,1293
OLT,7390,700,516,991,1846,1689,1648
PRAHOVA,5883,811,316,825,1516,1322,1093
SALAJ,4358,634,310,906,1121,703,684
SATU-MARE,4614,661,296,1054,1288,695,620
SIBIU,3475,384,256,687,914,563,671
SUCEAVA,10421,1528,703,1912,2682,1729,1867
TELEORMAN,8772,785,460,1438,2243,1931,1915
TIMIS,2450,267,142,362,693,507,479
TULCEA,2397,290,145,303,653,571,435
VALCEA,4917,654,362,642,1191,1121,947
VASLUI ,8703,530,284,1201,2658,2093,1937
VRANCEA,5125,624,306,805,1251,1074,1065
TOTAL,232875,26713,14529,36974,60100,48274,46285
