judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5543,442,328,1110,1534,1119,1010
ARAD,4009,308,143,600,1152,941,865
ARGES,9017,569,482,1658,2624,2060,1624
BACAU,11987,1297,565,1980,2978,2457,2710
BIHOR,5198,431,313,977,1558,960,959
BISTRITA NASAUD,4307,577,239,676,1125,871,819
BOTOSANI,3264,242,109,444,886,689,894
BRAILA,4732,443,197,738,1371,887,1096
BRASOV,6009,829,352,1195,1525,1062,1046
BUZAU,9222,598,372,1396,2594,2059,2203
CALARASI,2829,254,111,604,759,516,585
CARAS-SEVERIN,3483,371,167,541,905,774,725
CLUJ,5710,587,326,1063,1432,1284,1018
CONSTANTA,6393,568,305,1078,1645,1174,1623
COVASNA,4025,699,277,874,1055,601,519
DAMBOVITA,6151,606,357,857,1613,1426,1292
DOLJ,16776,1336,806,2783,4838,3570,3443
GALATI,11020,780,399,1582,3291,2250,2718
GIURGIU,2139,294,125,300,482,454,484
GORJ,4432,242,169,675,1274,1127,945
HARGHITA,5379,630,281,1115,1494,1032,827
HUNEDOARA,5432,473,291,898,1478,1385,907
IALOMITA,4146,326,154,619,1183,843,1021
IASI,9004,608,233,1297,2617,1948,2301
ILFOV,1406,76,58,245,479,323,225
MARAMURES,4032,603,303,723,1039,754,610
MEHEDINTI,5824,390,235,900,1653,1351,1295
MUNICIPIUL BUCURESTI,14867,214,1332,3519,4302,3113,2387
MURES,6491,983,383,1335,1800,959,1031
NEAMT,7591,738,312,1145,2076,1630,1690
OLT,8415,642,331,1142,2417,1967,1916
PRAHOVA,7763,676,305,1297,2183,1915,1387
SALAJ,4974,682,305,1098,1288,863,738
SATU-MARE,4836,671,300,1064,1418,717,666
SIBIU,4336,296,263,903,1230,787,857
SUCEAVA,10709,1427,627,2066,2876,1725,1988
TELEORMAN,8518,715,491,1458,2252,1864,1738
TIMIS,3726,335,211,623,970,835,752
TULCEA,2708,322,110,409,805,670,392
VALCEA,5570,442,271,860,1575,1412,1010
VASLUI ,9659,486,275,1382,3129,2258,2129
VRANCEA,5824,564,281,960,1521,1253,1245
TOTAL,267456,23772,13494,46189,74426,55885,53690
