JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5543,563,945,1543,1211,72,874,335
ARAD,4009,654,602,952,879,55,492,375
ARGES,9017,530,1890,2593,1769,108,1650,477
BACAU,11987,1772,832,4433,2758,145,1700,347
BIHOR,5198,331,892,1413,1158,92,770,542
BISTRITA,4307,207,579,1248,1170,74,780,249
BOTOSANI,3264,168,992,868,515,55,537,129
BRAILA,4732,739,1126,1696,480,60,474,157
BRASOV,6009,931,1408,1485,927,74,692,492
BUZAU,9222,938,2181,3191,1166,96,1500,150
CALARASI,2829,326,684,910,432,30,383,64
CARAS,3483,484,524,811,926,86,448,204
CLUJ,5710,672,811,1318,1212,153,920,624
CONSTANTA,6393,887,1027,1616,1570,75,734,484
COVASNA,4025,477,1569,890,629,37,323,100
DAMBOVITA,6151,458,1358,1952,1173,60,870,280
DOLJ,16776,3880,2552,4581,3395,215,1783,370
GALATI,11020,1274,2397,4240,1224,81,1416,388
GIURGIU,2139,257,516,756,362,19,165,64
GORJ,4432,0,565,1436,1150,72,901,308
HARGHITA,5379,831,1822,1024,887,59,625,131
HUNEDOARA,5432,218,641,1344,1683,122,914,510
IALOMITA,4146,347,954,1440,643,37,648,77
IASI,9004,597,1820,2973,799,76,2314,425
ILFOV,1406,115,354,245,324,9,181,178
MARAMURES,4032,113,878,871,1037,105,680,348
MEHEDINTI,5824,431,958,2270,1198,113,763,91
MUN. BUC.,14867,23,137,2506,5087,295,2790,4029
MURES,6491,839,2196,1467,833,64,822,270
NEAMT,7591,647,1084,2498,1543,102,1422,295
OLT,8415,739,948,3153,1850,123,1457,145
PRAHOVA,7763,600,1223,2014,1658,161,1526,581
SALAJ,4974,434,1613,1357,697,61,616,196
SATU M.,4836,624,1932,1388,417,28,336,111
SIBIU,4336,415,1179,985,707,71,627,352
SUCEAVA,10709,1119,1958,3344,1866,143,1866,413
TELEORMAN,8518,521,1375,4098,1289,82,1017,136
TIMIS,3726,485,399,691,961,71,584,535
TULCEA,2708,0,718,820,694,0,398,78
VALCEA,5570,175,528,1580,1627,124,1106,430
VASLUI,9659,406,2300,3836,1465,63,1469,120
VRANCEA,5824,378,1646,2072,889,61,636,142
Total general,267456,25605,50113,79908,52260,3629,40209,15732
