JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,543     "," 2,684     "," 2,859     "," 2,071     "," 3,472     ", 3.29     , 3.45     , 3.15     ,
ARAD," 4,009     "," 2,162     "," 1,847     "," 2,022     "," 1,987     ", 1.89     , 2.32     , 1.55     ,
ARGES," 9,017     "," 4,513     "," 4,504     "," 3,727     "," 5,290     ", 3.48     , 3.74     , 3.26     ,
BACAU," 11,987     "," 4,954     "," 7,033     "," 2,046     "," 9,941     ", 5.62     , 5.30     , 5.88     ,
BIHOR," 5,198     "," 2,955     "," 2,243     "," 2,796     "," 2,402     ", 1.97     , 2.43     , 1.58     ,
BISTRITA NASAUD," 4,307     "," 2,192     "," 2,115     "," 1,998     "," 2,309     ", 3.35     , 3.77     , 3.00     ,
BOTOSANI," 3,264     "," 1,527     "," 1,737     ", 956     ," 2,308     ", 2.38     , 2.33     , 2.42     ,
BRAILA," 4,732     "," 2,019     "," 2,713     ", 886     ," 3,846     ", 3.87     , 3.66     , 4.05     ,
BRASOV," 6,009     "," 2,862     "," 3,147     "," 1,713     "," 4,296     ", 2.29     , 2.54     , 2.10     ,
BUZAU," 9,222     "," 3,696     "," 5,526     "," 1,757     "," 7,465     ", 5.37     , 4.62     , 6.03     ,
CALARASI," 2,829     "," 1,401     "," 1,428     ", 635     ," 2,194     ", 3.10     , 3.18     , 3.03     ,
CARA?-SEVERIN," 3,483     "," 1,632     "," 1,851     "," 1,368     "," 2,115     ", 3.27     , 3.46     , 3.12     ,
CLUJ," 5,710     "," 3,079     "," 2,631     "," 2,412     "," 3,298     ", 1.53     , 1.87     , 1.26     ,
CONSTANTA," 6,393     "," 3,436     "," 2,957     "," 2,330     "," 4,063     ", 2.17     , 2.68     , 1.78     ,
COVASNA," 4,025     "," 1,980     "," 2,045     ", 894     ," 3,131     ", 4.69     , 4.84     , 4.55     ,
