JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5315,532,903,1541,1158,63,808,310
ARAD,3956,672,584,952,915,49,454,330
ARGES,8706,536,1891,2543,1643,103,1563,427
BACAU,11960,1693,992,4286,2721,145,1677,446
BIHOR,4813,355,907,1290,1021,80,629,531
BISTRITA,4224,216,550,1250,1140,66,766,236
BOTOSANI,3071,168,951,834,484,45,478,111
BRAILA,4409,726,1055,1543,429,58,440,158
BRASOV,6511,962,1546,1511,1335,64,634,459
BUZAU,9407,1026,2336,3252,1116,89,1459,129
CALARASI,2980,318,653,904,556,35,372,142
CARAS,3334,481,506,802,858,74,424,189
CLUJ,5409,669,827,1278,1064,132,870,569
CONSTANTA,6068,877,998,1480,1608,62,611,432
COVASNA,3980,483,1578,882,610,32,301,94
DAMBOVITA,6044,478,1365,1945,1128,43,836,249
DOLJ,16171,796,5482,4479,3206,186,1663,359
GALATI,10977,1279,2378,4164,1375,74,1325,382
GIURGIU,2278,249,502,750,533,18,162,64
GORJ,4139,0,546,1387,1032,49,840,285
HARGHITA,5147,821,1742,974,885,52,539,134
HUNEDOARA,5289,219,653,1334,1640,115,853,475
IALOMITA,4133,362,999,1459,601,37,608,67
IASI,8846,601,1834,2952,746,77,2230,406
ILFOV,1362,114,333,236,323,9,173,174
MARAMURES,4209,112,1078,856,1065,103,651,344
MEHEDINTI,5845,465,975,2303,1188,103,734,77
MUN. BUC.,14826,24,139,2487,5148,296,2800,3932
MURES,6111,807,2063,1409,778,58,748,248
NEAMT,7382,647,1095,2454,1493,76,1337,280
OLT,8202,717,932,3077,1855,103,1391,127
PRAHOVA,7421,586,1201,1935,1577,150,1427,545
SALAJ,4880,434,1593,1336,702,48,578,189
SATU M.,4742,622,1906,1377,387,23,320,107
SIBIU,4098,402,1079,915,746,68,579,309
SUCEAVA,10384,1114,2028,3278,1721,129,1739,375
TELEORMAN,8864,522,1471,4179,1371,72,1091,158
TIMIS,3267,425,263,621,942,54,499,463
TULCEA,2730,0,724,827,708,0,398,73
VALCEA,5138,178,542,1457,1481,103,1012,365
VASLUI,9686,409,2275,3888,1464,58,1482,110
VRANCEA,5817,377,1648,2031,961,60,615,125
Total general,262131,22474,53123,78458,51714,3261,38116,14985
