judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5315,399,328,1049,1451,1072,1016
ARAD,3956,416,135,555,1099,899,852
ARGES,8706,526,465,1622,2532,2004,1557
BACAU,11960,1141,631,1889,3024,2486,2789
BIHOR,4813,405,290,937,1396,855,930
BISTRITA NASAUD,4224,610,230,639,1051,869,825
BOTOSANI,3071,203,96,409,830,645,888
BRAILA,4409,363,186,695,1262,859,1044
BRASOV,6511,1261,330,1198,1515,1073,1134
BUZAU,9407,593,377,1419,2669,2085,2264
CALARASI,2980,354,110,582,770,560,604
CARAS-SEVERIN,3334,343,146,509,870,749,717
CLUJ,5409,497,301,1036,1368,1217,990
CONSTANTA,6068,768,277,976,1489,1032,1526
COVASNA,3980,710,280,857,1028,587,518
DAMBOVITA,6044,577,355,843,1581,1407,1281
DOLJ,16171,1246,761,2701,4688,3441,3334
GALATI,10977,956,408,1547,3205,2204,2657
GIURGIU,2278,479,115,300,467,445,472
GORJ,4139,220,158,623,1147,1071,920
HARGHITA,5147,679,275,1080,1374,963,776
HUNEDOARA,5289,497,304,917,1397,1291,883
IALOMITA,4133,318,145,609,1174,839,1048
IASI,8846,546,223,1288,2588,1925,2276
ILFOV,1362,74,50,239,462,312,225
MARAMURES,4209,690,271,735,1070,779,664
MEHEDINTI,5845,403,223,879,1649,1351,1340
MUNICIPIUL BUCURESTI,14826,219,1367,3465,4262,3122,2391
MURES,6111,871,344,1254,1713,923,1006
NEAMT,7382,735,279,1089,2027,1581,1671
OLT,8202,684,294,1096,2322,1893,1913
PRAHOVA,7421,647,276,1228,2104,1835,1331
SALAJ,4880,691,307,1076,1255,831,720
SATU-MARE,4742,666,297,1045,1371,707,656
SIBIU,4098,368,241,825,1139,714,811
SUCEAVA,10384,1304,653,2033,2808,1670,1916
TELEORMAN,8864,755,494,1548,2297,1955,1815
TIMIS,3267,343,139,509,861,741,674
TULCEA,2730,305,114,388,823,713,387
VALCEA,5138,498,210,759,1414,1280,977
VASLUI ,9686,461,262,1375,3122,2308,2158
VRANCEA,5817,661,284,957,1495,1218,1202
TOTAL,262131,24482,13031,44780,72169,54511,53158
