JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,795     "," 2,730     "," 3,065     "," 1,408     "," 4,387     ", 3.85     , 3.94     , 3.77     ,
ARAD," 2,278     "," 1,175     "," 1,103     ", 944     ," 1,334     ", 1.20     , 1.42     , 1.03     ,
ARGES," 8,289     "," 3,892     "," 4,397     "," 1,869     "," 6,420     ", 3.65     , 3.77     , 3.55     ,
BACAU," 5,322     "," 2,251     "," 3,071     "," 1,361     "," 3,961     ", 2.87     , 2.86     , 2.88     ,
BIHOR," 2,933     "," 1,552     "," 1,381     "," 1,087     "," 1,846     ", 1.25     , 1.49     , 1.06     ,
BISTRITA NASAUD," 3,593     "," 1,784     "," 1,809     "," 1,693     "," 1,900     ", 3.20     , 3.66     , 2.84     ,
BOTOSANI," 3,480     "," 1,574     "," 1,906     ", 699     ," 2,781     ", 3.23     , 3.18     , 3.27     ,
BRAILA," 3,517     "," 1,540     "," 1,977     ", 425     ," 3,092     ", 3.27     , 3.20     , 3.32     ,
BRASOV," 5,824     "," 2,798     "," 3,026     ", 710     ," 5,114     ", 2.31     , 2.56     , 2.13     ,
BUZAU," 7,755     "," 3,245     "," 4,510     ", 911     ," 6,844     ", 5.47     , 5.13     , 5.73     ,
CALARASI," 3,848     "," 1,824     "," 2,024     ", 539     ," 3,309     ", 5.25     , 5.58     , 4.99     ,
CARA?-SEVERIN," 2,351     "," 1,100     "," 1,251     ", 790     ," 1,561     ", 2.59     , 2.93     , 2.35     ,
CLUJ," 4,356     "," 2,186     "," 2,170     "," 1,012     "," 3,344     ", 1.24     , 1.42     , 1.10     ,
CONSTANTA," 6,467     "," 4,160     "," 2,307     "," 2,655     "," 3,812     ", 2.37     , 3.63     , 1.46     ,
COVASNA," 3,059     "," 1,431     "," 1,628     ", 436     ," 2,623     ", 3.93     , 4.20     , 3.73     ,
DAMBOVITA," 5,213     "," 2,749     "," 2,464     ", 991     ," 4,222     ", 3.17     , 4.22     , 2.48     ,
DOLJ," 16,957     "," 7,333     "," 9,624     "," 1,585     "," 15,372     ", 7.54     , 7.44     , 7.61     ,
GALATI," 10,292     "," 4,746     "," 5,546     "," 1,086     "," 9,206     ", 6.21     , 6.51     , 5.97     ,
GIURGIU," 2,106     "," 1,121     ", 985     , 287     ," 1,819     ", 3.27     , 3.96     , 2.72     ,
GORJ," 4,193     "," 2,163     "," 2,030     "," 1,000     "," 3,193     ", 3.51     , 3.94     , 3.14     ,
HARGHITA," 5,319     "," 2,398     "," 2,921     "," 1,263     "," 4,056     ", 4.49     , 4.82     , 4.25     ,
HUNEDOARA," 6,090     "," 3,232     "," 2,858     "," 1,951     "," 4,139     ", 3.91     , 4.65     , 3.32     ,
IALOMITA," 4,204     "," 2,116     "," 2,088     ", 657     ," 3,547     ", 5.39     , 6.12     , 4.81     ,
IASI," 8,501     "," 3,724     "," 4,777     ", 875     ," 7,626     ", 3.17     , 3.04     , 3.28     ,
ILFOV, 946     , 559     , 387     , 245     , 701     , 0.46     , 0.68     , 0.31     ,
MARAMURES," 3,841     "," 1,969     "," 1,872     "," 1,085     "," 2,756     ", 2.19     , 2.49     , 1.94     ,
MEHEDINTI," 6,032     "," 2,645     "," 3,387     ", 750     ," 5,282     ", 7.30     , 7.37     , 7.25     ,
MUN. BUC.," 12,402     "," 6,542     "," 5,860     "," 1,192     "," 11,210     ", 1.01     , 1.07     , 0.96     ,
MURES," 6,616     "," 3,050     "," 3,566     "," 1,060     "," 5,556     ", 3.19     , 3.45     , 2.99     ,
NEAMT," 6,957     "," 2,973     "," 3,984     "," 1,384     "," 5,573     ", 4.62     , 4.57     , 4.66     ,
OLT," 8,237     "," 3,847     "," 4,390     "," 1,024     "," 7,213     ", 6.37     , 6.94     , 5.93     ,
PRAHOVA," 5,867     "," 2,899     "," 2,968     "," 1,708     "," 4,159     ", 2.21     , 2.64     , 1.91     ,
SALAJ," 4,654     "," 2,014     "," 2,640     ", 744     ," 3,910     ", 5.19     , 5.31     , 5.10     ,
SATU MARE," 4,983     "," 2,174     "," 2,809     ", 671     ," 4,312     ", 3.90     , 3.81     , 3.97     ,
SIBIU," 4,597     "," 2,208     "," 2,389     ", 869     ," 3,728     ", 2.49     , 2.70     , 2.33     ,
SUCEAVA," 11,298     "," 4,754     "," 6,544     "," 2,918     "," 8,380     ", 5.90     , 5.76     , 6.01     ,
TELEORMAN," 9,405     "," 3,966     "," 5,439     ", 967     ," 8,438     ", 8.67     , 7.90     , 9.33     ,
TIMIS," 2,225     "," 1,124     "," 1,101     ", 852     ," 1,373     ", 0.68     , 0.81     , 0.59     ,
TULCEA," 2,988     "," 1,441     "," 1,547     ", 857     ," 2,131     ", 4.12     , 4.43     , 3.87     ,
VALCEA," 4,774     "," 2,362     "," 2,412     "," 1,486     "," 3,288     ", 3.43     , 3.95     , 3.05     ,
VASLUI," 8,793     "," 3,597     "," 5,196     ", 819     ," 7,974     ", 8.30     , 7.27     , 9.20     ,
VRANCEA," 4,865     "," 2,099     "," 2,766     ", 587     ," 4,278     ", 4.30     , 4.04     , 4.52     ,
Total ," 241,222     "," 113,047     "," 128,175     "," 45,452     "," 195,770     ", 3.08     , 3.23     , 2.95     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
