judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5618,799,314,1088,1515,904,998
ARAD,2912,291,125,421,781,506,788
ARGES,8713,1109,493,1697,2406,1480,1528
BACAU,12800,1547,1535,2212,2833,2303,2370
BIHOR,4213,727,259,870,1063,691,603
BISTRITA,3712,575,207,679,937,691,623
BOTOSANI,4088,520,169,634,1211,650,904
BRAILA,5128,587,245,929,1552,636,1179
BRASOV,6068,839,454,1352,1469,900,1054
BUZAU,12312,1356,575,2125,3680,1955,2621
CALARASI,3923,486,166,791,1030,615,835
CARAS-SEVERIN,3755,545,220,608,1062,643,677
CLUJ,4994,644,299,955,1353,858,885
CONSTANTA,5633,512,260,1079,1515,968,1299
COVASNA,2965,845,181,547,653,301,438
DAMBOVITA,9074,1961,444,1408,2117,1406,1738
DOLJ,19924,2064,1110,3622,5864,3383,3881
GALATI,13523,2261,466,1965,3860,2141,2830
GIURGIU,2398,411,94,359,543,430,561
GORJ,5892,682,230,905,1598,887,1590
HARGHITA,5659,1213,385,1196,1369,726,770
HUNEDOARA,6587,730,433,1152,2112,1226,934
IALOMITA,5208,645,219,887,1437,926,1094
IASI,9632,1020,227,1446,2722,1842,2375
ILFOV,1126,191,53,223,294,158,207
MARAMURES,6430,1056,481,1537,1584,951,821
MEHEDINTI,8691,631,387,1898,2858,1312,1605
MUNICIPIUL BUCURESTI,17106,354,1891,4192,4678,3185,2806
MURES,7060,1045,596,1613,1944,877,985
NEAMT,9175,1126,409,1586,2612,1575,1867
OLT,10252,1076,420,1682,3059,1829,2186
PRAHOVA,7937,1130,332,1346,2235,1436,1458
SALAJ,4545,806,319,930,1140,700,650
SATU-MARE,3840,547,290,944,1038,517,504
SIBIU,3521,348,229,718,910,581,735
SUCEAVA,12082,2720,754,2117,3020,1491,1980
TELEORMAN,12268,1651,658,2092,3373,2080,2414
TIMIS,2798,402,149,446,820,444,537
TULCEA,2521,402,199,594,675,384,267
VALCEA,5061,1148,263,802,1335,826,687
VASLUI ,11651,965,382,2007,3982,2057,2258
VRANCEA,5956,865,287,955,1588,994,1267
TOTAL,296751,38832,17209,54609,81827,48465,55809
