JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,881     "," 2,743     "," 3,138     "," 1,451     "," 4,430     ", 3.90     , 3.96     , 3.86     ,
ARAD," 2,173     "," 1,124     "," 1,049     ", 922     ," 1,251     ", 1.14     , 1.36     , 0.98     ,
ARGES," 8,244     "," 3,844     "," 4,400     "," 1,831     "," 6,413     ", 3.63     , 3.72     , 3.56     ,
BACAU," 5,382     "," 2,279     "," 3,103     "," 1,440     "," 3,942     ", 2.90     , 2.90     , 2.91     ,
BIHOR," 2,924     "," 1,560     "," 1,364     "," 1,094     "," 1,830     ", 1.25     , 1.50     , 1.05     ,
BISTRITA NASAUD," 3,976     "," 1,979     "," 1,997     "," 1,661     "," 2,315     ", 3.54     , 4.06     , 3.14     ,
BOTOSANI," 3,431     "," 1,550     "," 1,881     ", 754     ," 2,677     ", 3.19     , 3.13     , 3.23     ,
BRAILA," 3,555     "," 1,578     "," 1,977     ", 435     ," 3,120     ", 3.30     , 3.28     , 3.32     ,
BRASOV," 5,640     "," 2,689     "," 2,951     ", 723     ," 4,917     ", 2.24     , 2.46     , 2.07     ,
BUZAU," 7,780     "," 3,273     "," 4,507     ", 889     ," 6,891     ", 5.48     , 5.18     , 5.73     ,
CALARASI," 3,705     "," 1,768     "," 1,937     ", 492     ," 3,213     ", 5.05     , 5.41     , 4.77     ,
CARA?-SEVERIN," 2,437     "," 1,141     "," 1,296     ", 844     ," 1,593     ", 2.69     , 3.04     , 2.44     ,
CLUJ," 4,390     "," 2,224     "," 2,166     "," 1,020     "," 3,370     ", 1.25     , 1.45     , 1.10     ,
CONSTANTA," 6,432     "," 4,102     "," 2,330     "," 2,587     "," 3,845     ", 2.36     , 3.58     , 1.47     ,
COVASNA," 3,017     "," 1,394     "," 1,623     ", 455     ," 2,562     ", 3.88     , 4.09     , 3.71     ,
DAMBOVITA," 5,152     "," 2,719     "," 2,433     "," 1,066     "," 4,086     ", 3.13     , 4.18     , 2.45     ,
DOLJ," 17,165     "," 7,466     "," 9,699     "," 1,659     "," 15,506     ", 7.63     , 7.58     , 7.67     ,
GALATI," 10,091     "," 4,598     "," 5,493     "," 1,043     "," 9,048     ", 6.09     , 6.31     , 5.91     ,
GIURGIU," 2,147     "," 1,178     ", 969     , 291     ," 1,856     ", 3.33     , 4.16     , 2.68     ,
GORJ," 4,161     "," 2,074     "," 2,087     "," 1,026     "," 3,135     ", 3.48     , 3.78     , 3.23     ,
HARGHITA," 5,511     "," 2,463     "," 3,048     "," 1,304     "," 4,207     ", 4.65     , 4.96     , 4.43     ,
HUNEDOARA," 6,270     "," 3,307     "," 2,963     "," 2,006     "," 4,264     ", 4.03     , 4.76     , 3.44     ,
IALOMITA," 4,136     "," 2,054     "," 2,082     ", 620     ," 3,516     ", 5.30     , 5.94     , 4.80     ,
IASI," 8,499     "," 3,789     "," 4,710     ", 879     ," 7,620     ", 3.17     , 3.09     , 3.24     ,
ILFOV, 913     , 533     , 380     , 246     , 667     , 0.44     , 0.65     , 0.30     ,
MARAMURES," 3,713     "," 1,890     "," 1,823     "," 1,117     "," 2,596     ", 2.11     , 2.39     , 1.89     ,
MEHEDINTI," 5,774     "," 2,517     "," 3,257     ", 792     ," 4,982     ", 6.99     , 7.01     , 6.97     ,
MUN. BUC.," 12,789     "," 6,576     "," 6,213     "," 1,210     "," 11,579     ", 1.04     , 1.07     , 1.02     ,
MURES," 6,713     "," 3,089     "," 3,624     "," 1,096     "," 5,617     ", 3.23     , 3.49     , 3.04     ,
NEAMT," 6,833     "," 2,944     "," 3,889     "," 1,471     "," 5,362     ", 4.54     , 4.53     , 4.55     ,
OLT," 8,430     "," 3,910     "," 4,520     "," 1,074     "," 7,356     ", 6.51     , 7.06     , 6.11     ,
PRAHOVA," 5,900     "," 2,897     "," 3,003     "," 1,733     "," 4,167     ", 2.22     , 2.63     , 1.93     ,
SALAJ," 4,627     "," 1,983     "," 2,644     ", 729     ," 3,898     ", 5.16     , 5.23     , 5.10     ,
SATU MARE," 4,997     "," 2,186     "," 2,811     ", 697     ," 4,300     ", 3.91     , 3.84     , 3.97     ,
SIBIU," 4,346     "," 2,050     "," 2,296     ", 849     ," 3,497     ", 2.36     , 2.51     , 2.24     ,
