JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4601,433,661,1549,1017,39,647,255
ARAD,3329,602,494,765,869,45,332,222
ARGES,8128,434,1837,2462,1519,119,1398,359
BACAU,11547,540,2923,3994,2618,76,1120,276
BIHOR,3773,309,777,865,859,75,477,411
BISTRITA,4027,207,541,1116,1138,55,696,274
BOTOSANI,2805,127,677,926,500,43,438,94
BRAILA,3773,679,895,1229,387,58,392,133
BRASOV,5637,846,1354,1301,1327,48,454,307
BUZAU,8823,876,2092,2972,1309,75,1382,117
CALARASI,2921,346,777,925,508,27,294,44
CARAS,2865,384,406,640,831,61,379,164
CLUJ,4374,600,708,1042,805,92,693,434
CONSTANTA,5671,805,957,1321,1472,72,704,340
COVASNA,3223,480,1236,662,478,26,254,87
DAMBOVITA,5235,442,1065,1696,1062,37,737,196
DOLJ,15198,741,4891,4446,3083,147,1525,365
GALATI,10221,1086,2354,3712,1446,75,1222,326
GIURGIU,1988,222,415,689,455,20,133,54
GORJ,4267,0,433,1309,1276,78,868,303
HARGHITA,4545,783,1372,865,857,57,440,171
HUNEDOARA,6036,309,691,1421,1719,203,1093,600
IALOMITA,3904,346,928,1352,606,29,571,72
IASI,7980,559,1557,2560,1174,68,1761,301
ILFOV,1074,97,288,155,295,6,111,122
MARAMURES,3976,132,1038,755,1100,124,564,263
MEHEDINTI,5676,600,947,2176,992,48,808,105
MUN. BUC.,14272,22,142,2543,5171,439,2541,3414
MURES,5751,770,1931,1117,915,68,660,290
NEAMT,6483,599,1054,2233,1212,53,1150,182
OLT,7859,661,872,2838,1894,101,1355,138
PRAHOVA,6033,538,961,1534,1319,115,1125,441
SALAJ,4494,418,1450,1136,737,56,504,193
SATU M.,4458,627,1806,1310,334,17,280,84
SIBIU,3513,342,1000,738,661,48,494,230
SUCEAVA,10012,1049,1974,2946,1914,140,1663,326
TELEORMAN,8782,633,1514,3979,1461,64,987,144
TIMIS,2883,283,214,538,929,48,429,442
TULCEA,2388,0,646,670,663,0,335,74
VALCEA,4775,173,468,1255,1478,105,983,313
VASLUI,8656,363,2007,3538,1330,42,1274,102
VRANCEA,5584,362,1563,1865,1021,90,581,102
Total general,241540,19825,49916,71145,50741,3189,33854,12870
