judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4601,483,253,891,1192,782,1000
ARAD,3329,578,104,418,809,637,783
ARGES,8128,747,439,1428,2228,1740,1546
BACAU,11547,1354,514,1767,2933,2286,2693
BIHOR,3773,532,175,639,963,654,810
BISTRITA NASAUD,4027,757,228,509,949,826,758
BOTOSANI,2805,327,75,336,682,598,787
BRAILA,3773,377,144,563,1007,737,945
BRASOV,5637,1259,280,1032,1239,911,916
BUZAU,8823,800,307,1209,2406,2067,2034
CALARASI,2921,368,116,595,743,499,600
CARAS-SEVERIN,2865,428,107,391,732,571,636
CLUJ,4374,461,204,811,1108,922,868
CONSTANTA,5671,854,180,858,1309,999,1471
COVASNA,3223,702,241,633,787,450,410
DAMBOVITA,5235,690,276,733,1226,1181,1129
DOLJ,15198,1475,742,2446,4229,3200,3106
GALATI,10221,1279,359,1281,2800,2294,2208
GIURGIU,1988,399,83,259,417,419,411
GORJ,4267,617,183,510,984,1046,927
HARGHITA,4545,936,261,916,1082,714,636
HUNEDOARA,6036,622,284,898,1696,1527,1009
IALOMITA,3904,501,164,518,998,723,1000
IASI,7980,739,201,1024,2198,1754,2064
ILFOV,1074,134,32,161,317,240,190
MARAMURES,3976,960,222,689,905,679,521
MEHEDINTI,5676,470,212,814,1539,1336,1305
MUNICIPIUL BUCURESTI,14272,286,1320,3228,3901,3161,2376
MURES,5751,1278,368,1050,1431,767,857
NEAMT,6483,657,229,893,1799,1387,1518
OLT,7859,971,450,876,2016,1760,1786
PRAHOVA,6033,849,203,874,1581,1394,1132
SALAJ,4494,803,276,912,1090,723,690
SATU-MARE,4458,652,287,979,1249,666,625
SIBIU,3513,556,180,618,932,570,657
SUCEAVA,10012,2008,559,1755,2420,1510,1760
TELEORMAN,8782,1050,475,1448,2159,1857,1793
TIMIS,2883,505,103,398,740,592,545
TULCEA,2388,291,100,305,724,558,410
VALCEA,4775,789,182,663,1170,1082,889
VASLUI ,8656,463,223,1157,2619,2079,2115
VRANCEA,5584,879,240,858,1320,1139,1148
TOTAL,241540,30886,11581,38343,62629,49037,49064
