judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4984,470,298,949,1317,995,955
ARAD,3849,557,125,490,1007,846,824
ARGES,8488,643,432,1530,2412,1941,1530
BACAU,12042,1216,663,1940,3000,2413,2810
BIHOR,4388,349,243,850,1266,783,897
BISTRITA NASAUD,4176,650,208,617,1022,870,809
BOTOSANI,3091,357,100,380,781,615,858
BRAILA,4040,342,159,616,1114,802,1007
BRASOV,6599,1450,329,1166,1454,1083,1117
BUZAU,9521,707,349,1369,2655,2159,2282
CALARASI,3050,386,116,588,799,562,599
CARAS-SEVERIN,3338,484,140,469,835,713,697
CLUJ,5215,524,270,973,1319,1178,951
CONSTANTA,5774,900,253,907,1344,961,1409
COVASNA,3705,663,271,825,930,525,491
DAMBOVITA,5930,683,344,806,1477,1342,1278
DOLJ,15693,1353,709,2538,4483,3331,3279
GALATI,10910,1181,380,1463,3108,2146,2632
GIURGIU,2229,472,108,289,460,438,462
GORJ,4146,474,133,588,1088,1011,852
HARGHITA,5050,928,254,1007,1256,858,747
HUNEDOARA,5412,598,290,891,1445,1310,878
IALOMITA,4191,462,147,592,1131,830,1029
IASI,8835,642,223,1251,2543,1912,2264
ILFOV,1257,91,47,201,409,293,216
MARAMURES,4553,951,306,729,1241,747,579
MEHEDINTI,5957,508,194,844,1635,1380,1396
MUNICIPIUL BUCURESTI,14745,251,1359,3400,4225,3124,2386
MURES,6237,1104,345,1242,1699,877,970
NEAMT,7162,777,266,1034,1940,1542,1603
OLT,8292,978,294,1071,2155,1892,1902
PRAHOVA,7118,806,251,1125,1903,1712,1321
SALAJ,4982,860,294,1037,1228,815,748
SATU-MARE,4585,644,295,1004,1326,688,628
SIBIU,3982,493,219,784,1074,640,772
SUCEAVA,10094,1593,615,1906,2598,1561,1821
TELEORMAN,8861,1056,478,1477,2196,1857,1797
TIMIS,3213,483,125,482,792,682,649
TULCEA,2625,375,111,355,740,602,442
VALCEA,5009,737,191,696,1280,1177,928
VASLUI ,9578,567,229,1280,3007,2285,2210
VRANCEA,5868,857,275,905,1432,1196,1203
TOTAL,258774,29622,12438,42666,69126,52694,52228
