JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4984,460,793,1497,1151,49,739,295
ARAD,3849,602,557,871,1045,42,431,301
ARGES,8488,539,1866,2471,1640,107,1458,407
BACAU,12042,1693,1108,4302,2695,143,1670,431
BIHOR,4388,356,841,1171,903,76,557,484
BISTRITA,4176,203,521,1241,1165,65,734,247
BOTOSANI,3091,159,912,783,624,41,459,113
BRAILA,4040,714,979,1324,411,60,408,144
BRASOV,6599,997,1517,1475,1536,65,586,423
BUZAU,9521,985,2307,3279,1314,81,1435,120
CALARASI,3050,312,666,926,580,34,394,138
CARAS,3338,458,464,765,988,62,417,184
CLUJ,5215,650,768,1219,1041,119,839,579
CONSTANTA,5774,811,910,1395,1627,47,586,398
COVASNA,3705,473,1557,775,535,31,240,94
DAMBOVITA,5930,465,1236,1937,1211,36,804,241
DOLJ,15693,764,5131,4456,3284,163,1564,331
GALATI,10910,1253,2351,4085,1531,69,1263,358
GIURGIU,2229,250,494,732,538,8,150,57
GORJ,4146,0,453,1330,1234,47,810,272
HARGHITA,5050,818,1601,933,1025,53,476,144
HUNEDOARA,5412,220,612,1348,1712,122,900,498
IALOMITA,4191,351,985,1410,729,36,611,69
IASI,8835,601,1845,2949,762,62,2197,419
ILFOV,1257,102,309,209,317,11,154,155
MARAMURES,4553,121,1211,836,1287,92,654,352
MEHEDINTI,5957,556,1030,2267,1205,89,706,104
MUN. BUC.,14745,24,139,2494,5098,291,2794,3905
MURES,6237,834,2066,1367,940,52,730,248
NEAMT,7162,626,1082,2379,1476,64,1270,265
OLT,8292,701,936,3061,2036,99,1350,109
PRAHOVA,7118,547,1107,1861,1640,129,1309,525
SALAJ,4982,429,1577,1300,866,43,570,197
SATU M.,4585,622,1839,1329,359,20,308,108
SIBIU,3982,387,1033,862,793,70,543,294
SUCEAVA,10094,1074,2000,3088,1887,102,1574,369
TELEORMAN,8861,312,1819,3983,1511,65,1019,152
TIMIS,3213,364,238,576,1036,50,483,466
TULCEA,2625,0,704,766,732,0,355,68
VALCEA,5009,159,487,1357,1631,84,947,344
VASLUI,9578,402,2221,3848,1528,48,1407,124
VRANCEA,5868,375,1637,1952,1131,57,598,118
Total general,258774,21769,51909,76209,54754,2984,36499,14650
