JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,443     "," 2,584     "," 2,859     "," 1,134     "," 4,309     ", 3.61     , 3.73     , 3.51     ,
ARAD," 2,348     "," 1,228     "," 1,120     ", 741     ," 1,607     ", 1.24     , 1.48     , 1.04     ,
ARGES," 8,082     "," 3,911     "," 4,171     "," 1,684     "," 6,398     ", 3.56     , 3.79     , 3.37     ,
BACAU," 5,277     "," 2,353     "," 2,924     "," 1,263     "," 4,014     ", 2.84     , 2.99     , 2.74     ,
BIHOR," 2,859     "," 1,549     "," 1,310     "," 1,030     "," 1,829     ", 1.22     , 1.49     , 1.01     ,
BISTRITA NASAUD," 4,677     "," 2,376     "," 2,301     "," 1,302     "," 3,375     ", 4.16     , 4.88     , 3.61     ,
BOTOSANI," 3,305     "," 1,561     "," 1,744     ", 639     ," 2,666     ", 3.07     , 3.15     , 3.00     ,
BRAILA," 3,447     "," 1,528     "," 1,919     ", 345     ," 3,102     ", 3.20     , 3.18     , 3.23     ,
BRASOV," 5,352     "," 2,538     "," 2,814     ", 682     ," 4,670     ", 2.13     , 2.32     , 1.98     ,
BUZAU," 7,346     "," 3,116     "," 4,230     ", 826     ," 6,520     ", 5.18     , 4.93     , 5.37     ,
CALARASI," 3,425     "," 1,705     "," 1,720     ", 535     ," 2,890     ", 4.67     , 5.21     , 4.24     ,
CARA?-SEVERIN," 2,320     "," 1,085     "," 1,235     ", 855     ," 1,465     ", 2.56     , 2.89     , 2.32     ,
CLUJ," 4,238     "," 2,173     "," 2,065     ", 921     ," 3,317     ", 1.21     , 1.41     , 1.05     ,
CONSTANTA," 5,453     "," 3,264     "," 2,189     "," 1,572     "," 3,881     ", 2.00     , 2.85     , 1.39     ,
COVASNA," 3,264     "," 1,538     "," 1,726     ", 373     ," 2,891     ", 4.20     , 4.51     , 3.95     ,
DAMBOVITA," 4,667     "," 2,395     "," 2,272     ", 945     ," 3,722     ", 2.84     , 3.68     , 2.29     ,
DOLJ," 16,408     "," 7,163     "," 9,245     "," 1,375     "," 15,033     ", 7.29     , 7.27     , 7.31     ,
GALATI," 9,317     "," 4,339     "," 4,978     ", 947     ," 8,370     ", 5.62     , 5.95     , 5.36     ,
GIURGIU," 2,186     "," 1,199     ", 987     , 301     ," 1,885     ", 3.39     , 4.24     , 2.73     ,
GORJ," 4,263     "," 2,133     "," 2,130     "," 1,046     "," 3,217     ", 3.57     , 3.89     , 3.30     ,
HARGHITA," 5,017     "," 2,387     "," 2,630     ", 942     ," 4,075     ", 4.23     , 4.80     , 3.82     ,
HUNEDOARA," 6,278     "," 3,387     "," 2,891     "," 1,955     "," 4,323     ", 4.03     , 4.87     , 3.36     ,
IALOMITA," 3,619     "," 1,721     "," 1,898     ", 500     ," 3,119     ", 4.64     , 4.97     , 4.37     ,
IASI," 8,338     "," 3,784     "," 4,554     ", 796     ," 7,542     ", 3.11     , 3.09     , 3.13     ,
ILFOV, 839     , 507     , 332     , 240     , 599     , 0.41     , 0.62     , 0.27     ,
MARAMURES," 3,397     "," 1,735     "," 1,662     "," 1,082     "," 2,315     ", 1.93     , 2.20     , 1.72     ,
MEHEDINTI," 5,580     "," 2,379     "," 3,201     ", 707     ," 4,873     ", 6.76     , 6.63     , 6.85     ,
MUN. BUC.," 12,963     "," 6,718     "," 6,245     "," 1,192     "," 11,771     ", 1.06     , 1.09     , 1.02     ,
MURES," 6,412     "," 3,004     "," 3,408     ", 972     ," 5,440     ", 3.09     , 3.40     , 2.86     ,
NEAMT," 6,014     "," 2,709     "," 3,305     "," 1,060     "," 4,954     ", 4.00     , 4.17     , 3.87     ,
OLT," 7,920     "," 3,579     "," 4,341     ", 870     ," 7,050     ", 6.12     , 6.46     , 5.87     ,
PRAHOVA," 5,778     "," 2,858     "," 2,920     "," 1,651     "," 4,127     ", 2.17     , 2.60     , 1.87     ,
SALAJ," 4,555     "," 1,994     "," 2,561     ", 687     ," 3,868     ", 5.08     , 5.26     , 4.94     ,
SATU MARE," 4,654     "," 2,115     "," 2,539     ", 487     ," 4,167     ", 3.64     , 3.71     , 3.59     ,
SIBIU," 3,940     "," 1,847     "," 2,093     ", 796     ," 3,144     ", 2.14     , 2.26     , 2.04     ,
SUCEAVA," 10,375     "," 4,546     "," 5,829     "," 2,350     "," 8,025     ", 5.42     , 5.51     , 5.35     ,
TELEORMAN," 8,583     "," 3,701     "," 4,882     ", 900     ," 7,683     ", 7.91     , 7.37     , 8.37     ,
TIMIS," 2,831     "," 1,484     "," 1,347     "," 1,005     "," 1,826     ", 0.87     , 1.07     , 0.72     ,
TULCEA," 2,572     "," 1,287     "," 1,285     ", 479     ," 2,093     ", 3.55     , 3.96     , 3.21     ,
VALCEA," 4,953     "," 2,469     "," 2,484     "," 1,411     "," 3,542     ", 3.56     , 4.13     , 3.14     ,
VASLUI," 8,529     "," 3,523     "," 5,006     ", 674     ," 7,855     ", 8.05     , 7.12     , 8.86     ,
VRANCEA," 5,044     "," 2,255     "," 2,789     ", 595     ," 4,449     ", 4.46     , 4.34     , 4.56     ,
Total ," 231,868     "," 109,727     "," 122,141     "," 39,867     "," 192,001     ", 2.96     , 3.14     , 2.82     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
