JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,428     "," 2,676     "," 2,752     "," 1,339     "," 4,089     ", 3.60     , 3.86     , 3.38     ,
ARAD," 2,126     "," 1,159     ", 967     , 868     ," 1,258     ", 1.12     , 1.40     , 0.90     ,
ARGES," 8,012     "," 3,779     "," 4,233     "," 1,670     "," 6,342     ", 3.53     , 3.66     , 3.42     ,
BACAU," 5,084     "," 2,171     "," 2,913     "," 1,224     "," 3,860     ", 2.74     , 2.76     , 2.73     ,
BIHOR," 2,796     "," 1,507     "," 1,289     "," 1,097     "," 1,699     ", 1.19     , 1.45     , 0.99     ,
BISTRITA NASAUD," 3,445     "," 1,739     "," 1,706     "," 1,501     "," 1,944     ", 3.06     , 3.57     , 2.68     ,
BOTOSANI," 3,264     "," 1,549     "," 1,715     ", 552     ," 2,712     ", 3.03     , 3.13     , 2.95     ,
BRAILA," 3,326     "," 1,476     "," 1,850     ", 338     ," 2,988     ", 3.09     , 3.07     , 3.11     ,
BRASOV," 6,016     "," 2,975     "," 3,041     ", 666     ," 5,350     ", 2.39     , 2.72     , 2.14     ,
BUZAU," 7,508     "," 3,205     "," 4,303     ", 827     ," 6,681     ", 5.29     , 5.07     , 5.47     ,
CALARASI," 3,725     "," 1,780     "," 1,945     ", 452     ," 3,273     ", 5.08     , 5.44     , 4.79     ,
CARA?-SEVERIN," 2,200     "," 1,049     "," 1,151     ", 702     ," 1,498     ", 2.43     , 2.80     , 2.16     ,
CLUJ," 4,104     "," 2,031     "," 2,073     ", 981     ," 3,123     ", 1.17     , 1.32     , 1.05     ,
CONSTANTA," 5,406     "," 3,329     "," 2,077     "," 1,692     "," 3,714     ", 1.98     , 2.90     , 1.31     ,
COVASNA," 3,026     "," 1,427     "," 1,599     ", 373     ," 2,653     ", 3.89     , 4.18     , 3.66     ,
DAMBOVITA," 5,043     "," 2,730     "," 2,313     ", 998     ," 4,045     ", 3.07     , 4.19     , 2.33     ,
DOLJ," 16,054     "," 7,056     "," 8,998     "," 1,460     "," 14,594     ", 7.14     , 7.16     , 7.11     ,
GALATI," 9,763     "," 4,563     "," 5,200     ", 884     ," 8,879     ", 5.89     , 6.26     , 5.60     ,
