judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5428,785,514,932,1241,1000,956
ARAD,2126,140,88,275,572,535,516
ARGES,8012,756,557,1416,2053,1703,1527
BACAU,5084,611,317,639,1220,1168,1129
BIHOR,2796,287,175,414,653,567,700
BISTRITA NASAUD,3445,307,201,503,832,656,946
BOTOSANI,3264,284,121,362,799,795,903
BRAILA,3326,372,229,468,812,537,908
BRASOV,6016,1038,565,1159,1285,978,991
BUZAU,7508,541,315,1047,1842,1955,1808
CALARASI,3725,429,153,746,983,592,822
CARAS-SEVERIN,2200,202,130,302,519,534,513
CLUJ,4104,415,244,727,1043,881,794
CONSTANTA,5406,751,370,737,1238,842,1468
COVASNA,3026,749,328,504,606,471,368
DAMBOVITA,5043,747,446,766,1147,939,998
DOLJ,16054,1830,1172,2439,4067,3536,3010
GALATI,9763,1271,802,1190,2437,1736,2327
GIURGIU,2073,363,198,284,439,403,386
GORJ,3982,370,246,568,993,969,836
HARGHITA,4878,820,392,965,1173,798,730
HUNEDOARA,6242,766,496,940,1654,1425,961
IALOMITA,3975,531,308,514,947,682,993
IASI,7973,699,382,1126,2124,1404,2238
ILFOV,951,175,65,137,220,191,163
MARAMURES,3870,605,337,716,968,697,547
MEHEDINTI,5847,599,402,726,1426,1416,1278
MUNICIPIUL BUCURESTI,12220,170,899,2599,3489,2931,2132
MURES,5726,1218,572,920,1284,752,980
NEAMT,6677,518,276,919,1795,1608,1561
OLT,7512,911,795,918,1662,1676,1550
PRAHOVA,5799,715,383,837,1455,1378,1031
SALAJ,4607,640,366,1002,1134,781,684
SATU-MARE,4679,625,314,1000,1321,743,676
SIBIU,4401,684,357,782,1037,665,876
SUCEAVA,10585,1275,723,2072,2750,1627,2138
TELEORMAN,8455,915,573,1364,2030,1816,1757
TIMIS,1926,145,103,328,480,365,505
TULCEA,2752,473,349,377,503,544,506
VALCEA,4317,564,391,548,940,1038,836
VASLUI ,8709,360,237,1159,2642,2270,2041
VRANCEA,4634,511,252,718,1146,1021,986
TOTAL,229116,26167,16143,36145,56961,46625,47075
