JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5428,357,839,1918,1270,57,767,220
ARAD,2126,473,253,632,372,24,229,143
ARGES,8012,423,2053,2793,1169,85,1236,253
BACAU,5084,315,808,2022,861,64,838,176
BIHOR,2796,235,576,716,571,69,370,259
BISTRITA,3445,308,475,1101,744,45,618,154
BOTOSANI,3264,142,624,1410,527,36,465,60
BRAILA,3326,451,835,1243,294,38,368,97
BRASOV,6016,814,1731,2041,689,36,467,238
BUZAU,7508,814,1841,2716,868,45,1130,94
CALARASI,3725,506,1025,1233,574,34,294,59
CARAS,2200,300,364,583,515,40,280,118
CLUJ,4104,706,778,1037,611,91,602,279
CONSTANTA,5406,733,911,1443,1302,48,630,339
COVASNA,3026,418,1094,748,451,22,249,44
DAMBOVITA,5043,411,1125,1896,866,42,563,140
DOLJ,16054,964,4783,5449,2714,116,1760,268
GALATI,9763,1162,2046,3908,1178,73,1159,237
GIURGIU,2073,272,372,863,394,11,127,34
GORJ,3982,0,458,1213,1141,63,882,225
HARGHITA,4878,813,1524,1150,721,69,457,144
HUNEDOARA,6242,481,778,1642,1708,144,1006,483
IALOMITA,3975,397,892,1584,515,13,537,37
IASI,7973,500,1718,2695,876,67,1893,224
ILFOV,951,133,281,243,149,6,71,68
MARAMURES,3870,143,796,1107,868,88,630,238
MEHEDINTI,5847,697,966,2297,1113,49,610,115
MUN. BUC.,12220,22,66,2124,4562,382,2116,2948
MURES,5726,721,2011,1597,659,35,570,133
NEAMT,6677,552,1141,2372,926,57,1458,171
OLT,7512,635,547,2907,1704,79,1530,110
PRAHOVA,5799,491,1079,1661,1117,75,1097,279
SALAJ,4607,561,1494,1352,499,45,508,148
SATU M.,4679,784,1893,1388,262,16,281,55
SIBIU,4401,384,1546,1160,514,28,595,174
SUCEAVA,10585,1010,2438,3778,1252,151,1645,311
TELEORMAN,8455,769,1526,3897,1244,39,872,108
TIMIS,1926,291,250,395,436,36,256,262
TULCEA,2752,0,266,1249,739,0,418,80
VALCEA,4317,157,528,1277,1165,74,889,227
VASLUI,8709,417,2076,3995,909,40,1199,73
VRANCEA,4634,324,1460,1754,544,43,440,69
Total general,229116,20086,48267,76589,39593,2575,32112,9894
