judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4968,306,302,1022,1424,972,942
ARAD,2478,215,144,404,713,531,471
ARGES,8079,508,445,1600,2379,1703,1444
BACAU,10857,843,576,1767,2891,2283,2497
BIHOR,4316,284,257,939,1384,827,625
BISTRITA NASAUD,3295,332,169,662,834,673,625
BOTOSANI,3156,179,123,488,921,632,813
BRAILA,4475,380,195,781,1288,750,1081
BRASOV,5477,499,342,1208,1448,995,985
BUZAU,11242,660,444,1944,3388,2195,2611
CALARASI,2829,254,111,604,759,516,585
CARAS-SEVERIN,2984,289,160,523,843,594,575
CLUJ,4786,385,277,1049,1441,909,725
CONSTANTA,6458,418,282,1141,1802,1397,1418
COVASNA,2880,434,209,629,804,384,420
DAMBOVITA,6035,494,312,1103,1541,1208,1377
DOLJ,18140,1621,1061,3620,5427,3513,2898
GALATI,10350,568,352,1530,3267,2293,2340
GIURGIU,1763,208,59,292,450,368,386
GORJ,4069,270,166,743,1165,818,907
HARGHITA,5087,615,345,1219,1383,778,747
HUNEDOARA,6220,578,543,1197,1682,1310,910
IALOMITA,3782,289,158,660,1097,740,838
IASI,7909,570,208,1129,2217,1660,2125
ILFOV,657,75,27,126,203,117,109
MARAMURES,4216,572,276,924,1066,740,638
MEHEDINTI,6069,451,284,1340,2102,918,974
MUNICIPIUL BUCURESTI,15186,184,1408,3621,4479,3019,2475
MURES,5782,763,379,1316,1507,935,882
NEAMT,7269,672,315,1280,2161,1458,1383
OLT,8573,560,320,1315,2605,1856,1917
PRAHOVA,7223,473,291,1313,2252,1671,1223
SALAJ,4344,490,302,976,1171,764,641
SATU-MARE,4172,479,256,990,1229,550,668
SIBIU,4087,435,281,798,1121,690,762
SUCEAVA,10280,1194,670,2073,2897,1625,1821
TELEORMAN,8808,666,436,1623,2483,1792,1808
TIMIS,2763,168,135,511,811,567,571
TULCEA,2715,292,170,451,763,600,439
VALCEA,4967,299,211,879,1512,1204,862
VASLUI ,8421,289,208,1061,2907,1858,2098
VRANCEA,4777,381,222,792,1318,990,1074
TOTAL,251944,19642,13431,47643,73135,49403,48690
