JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5294,2288,3006,1894,949,945,3400,1339,2061,
 ARAD,2797,1367,1430,936,497,439,1861,870,991,
 ARGES,7992,3662,4330,1247,689,558,6745,2973,3772,
 BACAU,12133,4862,7271,2886,1236,1650,9247,3626,5621,
 BIHOR,3077,1599,1478,1099,635,464,1978,964,1014,
 BISTRITA-NASAUD,3855,1923,1932,1340,821,519,2515,1102,1413,
 BOTOSANI,4166,1684,2482,1367,603,764,2799,1081,1718,
 BRAILA,5167,2025,3142,1279,576,703,3888,1449,2439,
 BRASOV,5764,2606,3158,1671,884,787,4093,1722,2371,
 BUZAU,11895,4696,7199,1947,931,1016,9948,3765,6183,
 CALARASI,3707,1736,1971,760,366,394,2947,1370,1577,
 CARAS-SEVERIN,3512,1526,1986,1464,663,801,2048,863,1185,
 CLUJ,4715,2353,2362,1986,1181,805,2729,1172,1557,
 CONSTANTA,7759,4693,3066,3996,2760,1236,3763,1933,1830,
 COVASNA,2961,1319,1642,762,376,386,2199,943,1256,
 DAMBOVITA,7046,3328,3718,1108,583,525,5938,2745,3193,
 DOLJ,19758,8071,11687,2926,1530,1396,16832,6541,10291,
 GALATI,11368,4830,6538,1844,1011,833,9524,3819,5705,
 GIURGIU,1860,1066,794,554,368,186,1306,698,608,
 GORJ,5457,2484,2973,1647,906,741,3810,1578,2232,
 HARGHITA,5428,2322,3106,1638,805,833,3790,1517,2273,
 HUNEDOARA,6227,3163,3064,4228,2182,2046,1999,981,1018,
 IALOMITA,5013,2135,2878,1524,731,793,3489,1404,2085,
 IASI,8690,3735,4955,1262,638,624,7428,3097,4331,
 ILFOV,1032,548,484,193,113,80,839,435,404,
 MARAMURES,6356,3095,3261,3215,1588,1627,3141,1507,1634,
 MEHEDINTI,7509,3039,4470,1306,614,692,6203,2425,3778,
 MURES,6559,2755,3804,1180,580,600,5379,2175,3204,
 NEAMT,7730,3226,4504,1346,658,688,6384,2568,3816,
 OLT,9349,3880,5469,1846,930,916,7503,2950,4553,
 PRAHOVA,7176,3415,3761,2267,1219,1048,4909,2196,2713,
 SALAJ,4679,1910,2769,918,481,437,3761,1429,2332,
 SATU MARE,3811,1674,2137,766,385,381,3045,1289,1756,
 SIBIU,3579,1630,1949,1158,567,591,2421,1063,1358,
 SUCEAVA,11325,4757,6568,3018,1444,1574,8307,3313,4994,
 TELEORMAN,10965,4602,6363,2481,1245,1236,8484,3357,5127,
 TIMIS,2573,1325,1248,1301,681,620,1272,644,628,
 TULCEA,2965,1313,1652,760,414,346,2205,899,1306,
 VALCEA,4726,2341,2385,1707,951,756,3019,1390,1629,
 VASLUI,11149,4285,6864,1338,609,729,9811,3676,6135,
 VRANCEA,5373,2250,3123,1033,480,553,4340,1770,2570,
BUCURESTI,15650,8375,7275,15650,8375,7275,0,0,0,
Total TARA ,278147,123893,154254,82848,43255,39593,195299,80638,114661,
