judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5383,842,511,904,1185,981,960
ARAD,2226,170,89,298,587,575,507
ARGES,7961,765,574,1414,2005,1686,1517
BACAU,4982,605,307,597,1216,1160,1097
BIHOR,2800,263,175,406,689,551,716
BISTRITA NASAUD,3619,400,235,489,860,665,970
BOTOSANI,3191,239,114,375,793,784,886
BRAILA,3235,340,187,484,803,544,877
BRASOV,6348,1360,574,1138,1281,996,999
BUZAU,7723,734,316,1042,1826,1987,1818
CALARASI,3683,454,163,763,969,569,765
CARAS-SEVERIN,2099,199,122,286,494,490,508
CLUJ,3959,382,226,697,996,861,797
CONSTANTA,4747,803,336,642,1025,677,1264
COVASNA,3355,1031,341,511,617,477,378
DAMBOVITA,4844,776,438,712,1057,902,959
DOLJ,16024,1911,1104,2430,4038,3521,3020
GALATI,9524,1106,614,1154,2437,1751,2462
GIURGIU,2079,344,192,270,487,406,380
GORJ,3912,401,238,560,904,973,836
HARGHITA,4712,864,331,916,1105,766,730
HUNEDOARA,6037,740,485,879,1568,1401,964
IALOMITA,3799,473,258,509,906,685,968
IASI,8644,829,447,1273,2218,1439,2438
ILFOV,891,192,70,117,200,179,133
MARAMURES,4177,618,332,792,1043,747,645
MEHEDINTI,5722,544,386,700,1400,1394,1298
MUNICIPIUL BUCURESTI,12227,169,933,2846,3400,2814,2065
MURES,5805,1304,554,949,1295,749,954
NEAMT,6509,486,269,892,1721,1538,1603
OLT,7004,879,717,861,1485,1513,1549
PRAHOVA,6081,801,407,913,1471,1431,1058
SALAJ,4625,672,337,970,1148,798,700
SATU-MARE,4446,546,271,962,1255,753,659
SIBIU,4955,792,400,970,1159,700,934
SUCEAVA,10293,1189,689,1990,2692,1569,2164
TELEORMAN,8424,918,542,1237,2022,1843,1862
TIMIS,2375,276,123,465,561,386,564
TULCEA,2693,532,315,409,498,481,458
VALCEA,4218,579,365,543,893,983,855
VASLUI ,8466,320,225,1100,2551,2205,2065
VRANCEA,4361,445,220,716,1038,969,973
TOTAL,228158,27293,15532,36181,55898,45899,47355
