JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,383     "," 2,681     "," 2,702     "," 1,304     "," 4,079     ", 3.57     , 3.87     , 3.32     ,
ARAD," 2,226     "," 1,208     "," 1,018     ", 876     ," 1,350     ", 1.17     , 1.46     , 0.95     ,
ARGES," 7,961     "," 3,830     "," 4,131     "," 1,596     "," 6,365     ", 3.51     , 3.71     , 3.34     ,
BACAU," 4,982     "," 2,172     "," 2,810     "," 1,176     "," 3,806     ", 2.69     , 2.76     , 2.63     ,
BIHOR," 2,800     "," 1,556     "," 1,244     "," 1,132     "," 1,668     ", 1.20     , 1.49     , 0.96     ,
BISTRITA NASAUD," 3,619     "," 1,830     "," 1,789     "," 1,265     "," 2,354     ", 3.22     , 3.76     , 2.81     ,
BOTOSANI," 3,191     "," 1,515     "," 1,676     ", 486     ," 2,705     ", 2.96     , 3.06     , 2.88     ,
BRAILA," 3,235     "," 1,446     "," 1,789     ", 296     ," 2,939     ", 3.01     , 3.01     , 3.01     ,
BRASOV," 6,348     "," 3,259     "," 3,089     ", 678     ," 5,670     ", 2.52     , 2.98     , 2.17     ,
BUZAU," 7,723     "," 3,384     "," 4,339     ", 856     ," 6,867     ", 5.44     , 5.35     , 5.51     ,
CALARASI," 3,683     "," 1,775     "," 1,908     ", 419     ," 3,264     ", 5.02     , 5.43     , 4.70     ,
CARA?-SEVERIN," 2,099     ", 978     ," 1,121     ", 646     ," 1,453     ", 2.31     , 2.61     , 2.11     ,
CLUJ," 3,959     "," 1,982     "," 1,977     ", 909     ," 3,050     ", 1.13     , 1.29     , 1.00     ,
CONSTANTA," 4,747     "," 2,789     "," 1,958     "," 1,092     "," 3,655     ", 1.74     , 2.43     , 1.24     ,
COVASNA," 3,355     "," 1,643     "," 1,712     ", 339     ," 3,016     ", 4.31     , 4.82     , 3.92     ,
DAMBOVITA," 4,844     "," 2,670     "," 2,174     ", 926     ," 3,918     ", 2.95     , 4.10     , 2.19     ,
DOLJ," 16,024     "," 7,111     "," 8,913     "," 1,318     "," 14,706     ", 7.12     , 7.22     , 7.05     ,
GALATI," 9,524     "," 4,320     "," 5,204     ", 753     ," 8,771     ", 5.74     , 5.93     , 5.60     ,
