judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5486,713,353,1016,1493,965,946
ARAD,3022,297,127,479,818,565,736
ARGES,8509,897,467,1721,2398,1523,1503
BACAU,12506,1401,1881,2778,2654,2126,1666
BIHOR,3589,359,220,696,992,706,616
BISTRITA NASAUD,4097,504,237,786,1087,790,693
BOTOSANI,4402,409,179,670,1358,788,998
BRAILA,5151,566,254,893,1601,694,1143
BRASOV,5948,716,433,1350,1470,956,1023
BUZAU,15679,225,1534,3936,4559,2795,2630
CALARASI,12414,939,542,2205,3789,2152,2787
CARAS-SEVERIN,3894,431,177,762,1065,657,802
CLUJ,3540,339,180,621,1001,662,737
CONSTANTA,4855,566,322,960,1261,883,863
COVASNA,8121,601,338,1445,2338,1704,1695
DAMBOVITA,3150,613,226,691,787,378,455
DOLJ,7329,1307,314,1024,1737,1310,1637
GALATI,20097,1752,1107,3691,6037,3623,3887
GIURGIU,11698,747,421,1821,3733,2297,2679
GORJ,1964,302,98,317,461,369,417
HARGHITA,5900,606,245,954,1630,975,1490
HUNEDOARA,5709,855,418,1300,1509,798,829
IALOMITA,6423,586,327,1087,2225,1237,961
IASI,5248,427,215,875,1598,998,1135
ILFOV,8961,871,214,1304,2526,1754,2292
MARAMURES,1196,323,51,201,294,141,186
MEHEDINTI,6377,933,562,1215,1709,1267,691
MUNICIPIUL BUCURESTI,7770,521,254,1742,2667,1161,1425
MURES,6988,1026,539,1693,1856,925,949
NEAMT,8450,781,406,1439,2525,1598,1701
OLT,10105,908,438,1691,3062,1827,2179
PRAHOVA,7465,729,349,1307,2253,1439,1388
SALAJ,4740,752,369,960,1213,760,686
SATU-MARE,3905,483,279,958,1133,534,518
SIBIU,3598,369,243,727,963,585,711
SUCEAVA,11979,1765,832,2322,3307,1695,2058
TELEORMAN,10899,935,575,1883,3054,2145,2307
TIMIS,2867,251,165,542,854,485,570
TULCEA,3234,473,144,483,877,645,612
VALCEA,5029,508,266,959,1442,991,863
VASLUI ,11653,613,353,1992,4116,2211,2368
VRANCEA,5635,600,296,932,1489,1028,1290
TOTAL,289582,28999,16950,54428,82941,51142,55122
